Job_Title,Min_Salary,Max_Salary,Company,Ratings,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Data Engineer,$91K,$150K,Shape Security,4.1,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
"Manager / Lead, Data Science & Analytics",$91K,$150K,ABIOMED,4.1,"Danvers, MA","Danvers, MA",1001 to 5000 employees,1981,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covidien, Boston Scientific"
Data Scientist,$91K,$150K,Comcast,3.5,"New York, NY","Philadelphia, PA",10000+ employees,1963,Company - Public,Unknown,Unknown,$10+ billion (USD),"AT&T, Verizon"
Data Scientist,$91K,$150K,"Metronome, LLC",3.2,"Vienna, VA","Fairfax, VA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Unknown
Data Scientist,$91K,$150K,SkillSoniq,5.0,"San Francisco, CA","Jersey City, NJ",Unknown,,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$91K,$150K,Lawrence Livermore National Lab,4.7,"Livermore, CA","Livermore, CA",1001 to 5000 employees,1952,Government,Federal Agencies,Government,$1 to $2 billion (USD),"Los Alamos National Laboratory, NASA Jet Propulsion Laboratory, Sandia National Laboratories"
Diversity and Inclusion Data Analyst,$91K,$150K,FHLBank Pittsburgh,3.8,"Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),Unknown
Data Scientist,$91K,$150K,Jacobs,3.6,"Herndon, VA","Dallas, TX",10000+ employees,1947,Company - Public,Architectural & Engineering Services,Business Services,$10+ billion (USD),"Fluor, Bechtel, AECOM"
Data Scientist,$91K,$150K,Klaviyo,4.8,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$91K,$150K,Underwriters Laboratories,3.3,"Northbrook, IL","Northbrook, IL",10000+ employees,1894,Company - Private,Consulting,Business Services,$2 to $5 billion (USD),"Intertek, SGS, Bureau Veritas"
Data Scientist,$91K,$150K,Altus Group,3.7,"Irvine, CA","Toronto, Canada",1001 to 5000 employees,2005,Company - Public,Real Estate,Real Estate,$100 to $500 million (USD),Unknown
Data Scientist,$91K,$150K,Jobot,5.0,"Irvine, CA","Irvine, CA",51 to 200 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Unknown
Data Scientist,$91K,$150K,Trovetechs Inc,,"San Francisco, CA","Hillsborough, NJ",Unknown,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Senior Analyst/Data Scientist,$141K,$225K,Edmunds.com,3.4,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"TrueCar, Cars.com, Kelley Blue Book"
Data Scientist,$141K,$225K,Cohere Health,5.0,"Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$141K,$225K,Trovetechs Inc,,"San Francisco, CA","Hillsborough, NJ",Unknown,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Senior Data Scientist - R&D Oncology,$141K,$225K,AstraZeneca,4.0,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
Data Scientist,$141K,$225K,Oshkosh Corporation,4.2,"Oshkosh, WI","Oshkosh, WI",10000+ employees,1917,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),"Lockheed Martin, Caterpillar, John Deere"
Data Scientist,$141K,$225K,Joby Aviation,4.3,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$141K,$225K,Mackin,3.4,"Menlo Park, CA","Pittsburgh, PA",51 to 200 employees,1960,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),Unknown
Data Scientist,$141K,$225K,PETADATA,,"San Francisco, CA","Fremont, CA",51 to 200 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$141K,$225K,VBeyond Corporation,4.4,"Dallas, TX","Hillsborough, NJ",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Unknown
Data Scientist Machine Learning,$141K,$225K,Leidos,3.5,"Arlington, VA","Reston, VA",10000+ employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Unknown
Data Scientist,$141K,$225K,Take-Two,3.7,"San Francisco, CA","New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD),"Activision Blizzard, Electronic Arts"
Data Scientist,$141K,$225K,Colony Brands,3.7,"Monroe, WI","Monroe, WI",501 to 1000 employees,,Company - Private,Food & Beverage Stores,Retail,$100 to $500 million (USD),Unknown
Data Scientist,$141K,$225K,Capio Group,4.1,"Sacramento, CA","Goteborg, Sweden",10000+ employees,,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Unknown
Data Scientist,$141K,$225K,SleePare,3.4,"New York, NY","New York, NY",1 to 50 employees,2017,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,Unknown
Data Analyst,$141K,$225K,ShorePoint,4.5,"Reston, VA","Washington, DC",1 to 50 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$141K,$225K,Dolphin,3.5,"New York, NY","Lake Buena Vista, FL",1001 to 5000 employees,1990,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable,Unknown
Data Scientist,$141K,$225K,TE Connectivity,3.6,"Hampton, VA","Schaffhausen, Switzerland",10000+ employees,2007,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),Unknown
Data Scientist,$141K,$225K,State of Virginia,3.2,"Richmond, VA","Richmond, VA",10000+ employees,1788,Government,State & Regional Agencies,Government,$10+ billion (USD),Unknown
Data Scientist,$141K,$225K,TA Digital,3.7,"New York, NY","Newark, CA",501 to 1000 employees,2000,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Unknown
Data Scientist,$141K,$225K,Market America Inc,4.0,"Monterey, CA","Greensboro, NC",501 to 1000 employees,1992,Company - Private,Other Retail Stores,Retail,$100 to $500 million (USD),Unknown
Data Scientist,$145K,$225K,Triplebyte,3.2,"Chicago, IL","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown
